               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.023167,           0.0080639,           0.0019963,             0.98439,               0.911,             0.93199,             0.70081,              0.0185,            0.004778,           0.0020845,           0.0062512,           0.0062512,           0.0062512
                  50,            0.022588,           0.0077738,           0.0018476,             0.96374,             0.91095,             0.92104,             0.72914,            0.017875,           0.0049029,           0.0017883,           0.0061256,           0.0061256,           0.0061256
                  51,            0.022875,           0.0079765,           0.0018213,             0.97938,             0.90433,             0.93424,             0.69279,            0.019996,           0.0053543,           0.0018544,               0.006,               0.006,               0.006
                  52,            0.022373,            0.007695,           0.0019228,             0.94347,             0.94383,             0.97156,             0.71241,              0.0188,           0.0049827,           0.0014423,           0.0058744,           0.0058744,           0.0058744
                  53,            0.022393,           0.0076095,           0.0019065,             0.95662,              0.9253,             0.96657,              0.7377,             0.01882,           0.0047878,           0.0013779,           0.0057488,           0.0057488,           0.0057488
                  54,            0.021527,           0.0076449,           0.0016261,              0.9544,             0.95888,             0.96153,             0.73675,             0.01728,           0.0048491,           0.0014173,           0.0056236,           0.0056236,           0.0056236
                  55,            0.021798,           0.0076601,           0.0015954,             0.99116,             0.85778,              0.9377,             0.72644,            0.017536,           0.0050175,           0.0016962,           0.0054987,           0.0054987,           0.0054987
                  56,            0.020599,           0.0075138,           0.0018454,             0.90445,             0.95295,             0.95405,             0.72495,            0.017574,           0.0046927,           0.0013975,           0.0053743,           0.0053743,           0.0053743
                  57,            0.020043,           0.0072617,           0.0015573,              0.9812,             0.92707,             0.94835,             0.73705,            0.017423,           0.0044798,           0.0014601,           0.0052505,           0.0052505,           0.0052505
                  58,            0.019736,           0.0076118,           0.0014706,             0.99571,             0.92326,             0.93901,             0.71901,            0.016415,            0.004389,           0.0016603,           0.0051274,           0.0051274,           0.0051274
                  59,            0.019675,           0.0075571,           0.0014102,             0.98778,             0.91578,             0.94766,             0.74408,            0.016465,           0.0043347,           0.0018058,           0.0050052,           0.0050052,           0.0050052
                  60,            0.019869,           0.0072038,           0.0012845,             0.98011,             0.92416,             0.93303,             0.75283,            0.015912,           0.0042509,           0.0014762,            0.004884,            0.004884,            0.004884
                  61,            0.018521,           0.0071791,           0.0013857,              0.9986,             0.92787,             0.96935,             0.72735,            0.017749,           0.0045111,           0.0011334,           0.0047639,           0.0047639,           0.0047639
                  62,            0.018334,           0.0071231,           0.0013168,             0.98534,             0.93268,             0.96633,             0.73832,            0.017357,           0.0046416,           0.0011732,            0.004645,            0.004645,            0.004645
                  63,            0.018406,           0.0070804,           0.0011455,              0.9875,             0.92416,             0.95413,             0.74843,            0.016651,           0.0045455,           0.0013018,           0.0045275,           0.0045275,           0.0045275
                  64,            0.017594,           0.0070608,           0.0012813,             0.93096,             0.92414,             0.95321,             0.76018,             0.01584,           0.0043402,           0.0011541,           0.0044114,           0.0044114,           0.0044114
                  65,            0.017427,           0.0069054,           0.0011294,              0.9949,             0.91872,             0.97533,             0.75854,            0.016249,           0.0043255,           0.0010657,           0.0042969,           0.0042969,           0.0042969
                  66,            0.016845,           0.0065848,           0.0011465,             0.99512,             0.92858,             0.97167,             0.75584,            0.015958,           0.0042567,           0.0011004,            0.004184,            0.004184,            0.004184
                  67,            0.016317,           0.0068451,           0.0010646,             0.98718,             0.92411,             0.94486,             0.73898,             0.01583,           0.0043074,            0.001143,            0.004073,            0.004073,            0.004073
                  68,            0.016367,           0.0069603,          0.00098399,             0.99028,             0.93035,             0.97719,             0.76421,            0.015944,           0.0043883,           0.0010872,           0.0039638,           0.0039638,           0.0039638
                  69,            0.016893,           0.0070327,           0.0011002,             0.99302,             0.93151,             0.98462,             0.75992,            0.015554,           0.0041796,          0.00096466,           0.0038567,           0.0038567,           0.0038567
                  70,            0.015552,           0.0062454,          0.00095147,             0.98829,             0.92414,             0.96246,             0.76865,             0.01488,           0.0041903,          0.00094004,           0.0037517,           0.0037517,           0.0037517
                  71,            0.016764,           0.0064353,          0.00096644,             0.98398,             0.91104,             0.95352,             0.77221,            0.015942,           0.0043983,           0.0009106,           0.0036489,           0.0036489,           0.0036489
